iter	Passed	Remaining
0	5	540
1	10	498
2	14	465
3	16	387
4	18	349
5	20	321
6	22	302
7	25	288
8	27	275
9	29	265
10	31	255
11	33	248
12	36	241
13	38	234
14	40	227
15	42	221
16	44	215
17	46	209
18	48	205
19	50	201
20	51	195
21	53	189
22	54	183
23	56	178
24	57	173
25	58	167
26	60	162
27	61	157
28	62	152
29	63	148
30	64	143
31	65	139
32	66	135
33	67	131
34	68	127
35	69	124
36	70	120
37	71	117
38	72	113
39	73	110
40	74	106
41	74	103
42	75	100
43	76	97
44	77	94
45	78	92
46	79	89
47	80	86
48	81	84
49	81	81
50	82	79
51	83	77
52	84	74
53	85	72
54	85	70
55	86	68
56	87	66
57	88	64
58	89	61
59	90	60
60	90	58
61	91	56
62	92	54
63	93	52
64	94	50
65	95	49
66	96	47
67	97	45
68	98	44
69	99	42
70	99	40
71	100	39
72	101	37
73	102	36
74	103	34
75	104	32
76	104	31
77	105	29
78	106	28
79	107	26
80	108	25
81	109	23
82	109	22
83	110	21
84	111	19
85	112	18
86	113	16
87	114	15
88	114	14
89	115	12
90	116	11
91	117	10
92	118	8
93	118	7
94	119	6
95	120	5
96	121	3
97	122	2
98	123	1
99	123	0
