iter	Passed	Remaining
0	703	703103
1	705	352097
2	706	234927
3	708	176338
4	709	141217
5	710	117725
6	711	100935
7	712	88341
8	713	78582
9	714	70771
10	715	64359
11	717	59052
12	718	54517
13	719	50641
14	719	47274
15	720	44330
16	721	41729
17	722	39417
18	723	37352
19	724	35488
20	725	33802
21	726	32275
22	727	30900
23	729	29661
24	730	28485
25	731	27395
26	732	26383
27	732	25442
28	733	24569
29	734	23753
30	735	22988
31	736	22274
32	737	21602
33	738	20969
34	738	20373
35	739	19811
36	742	19320
37	744	18858
38	745	18379
39	746	17925
40	747	17491
41	748	17080
42	749	16686
43	750	16309
44	751	15951
45	752	15607
46	753	15276
47	754	14960
48	756	14689
49	758	14409
50	759	14135
51	761	13875
52	762	13632
53	764	13388
54	765	13152
55	766	12923
56	767	12702
57	769	12491
58	770	12284
59	771	12086
60	772	11893
61	773	11708
62	775	11530
63	777	11371
64	778	11202
65	779	11037
66	781	10877
67	782	10723
68	783	10572
69	784	10425
70	785	10280
71	786	10140
72	787	10005
73	789	9874
74	793	9782
75	794	9659
76	795	9538
77	796	9418
78	798	9306
79	799	9194
80	800	9084
81	801	8975
82	802	8864
83	803	8759
84	804	8659
85	806	8575
86	807	8477
87	808	8381
88	809	8288
89	810	8196
90	811	8105
91	812	8017
92	813	7932
93	814	7847
94	815	7764
95	816	7684
96	816	7603
97	817	7525
98	818	7449
99	819	7374
100	821	7310
101	822	7241
102	823	7170
103	824	7101
104	825	7033
105	825	6966
106	826	6900
107	827	6836
108	828	6773
109	829	6711
110	830	6651
111	831	6591
112	832	6532
113	833	6474
114	834	6418
115	837	6381
116	838	6328
117	839	6275
118	840	6224
119	841	6172
120	842	6122
121	843	6071
122	844	6023
123	845	5974
124	846	5926
125	847	5878
126	848	5829
127	849	5787
128	852	5756
129	854	5716
130	855	5672
131	856	5629
132	857	5586
133	858	5545
134	859	5504
135	859	5463
136	860	5422
137	862	5384
138	863	5346
139	864	5308
140	869	5295
141	871	5263
142	872	5228
143	873	5194
144	874	5158
145	875	5122
146	876	5087
147	877	5052
148	878	5018
149	882	5001
150	884	4973
151	885	4942
152	886	4910
153	888	4879
154	889	4846
155	890	4817
156	891	4786
157	892	4755
158	893	4725
159	896	4708
160	898	4682
161	901	4662
162	902	4634
163	903	4605
164	904	4577
165	905	4549
166	906	4520
167	907	4493
168	908	4466
169	911	4449
170	912	4424
171	914	4404
172	915	4378
173	916	4352
174	918	4328
175	918	4302
176	919	4277
177	920	4251
178	921	4228
179	923	4204
180	924	4183
181	927	4170
182	929	4148
183	930	4126
184	931	4103
185	932	4082
186	933	4059
187	934	4037
188	935	4014
189	936	3993
190	937	3972
191	941	3960
192	942	3941
193	944	3922
194	945	3902
195	946	3881
196	947	3860
197	948	3839
198	949	3820
199	950	3800
200	951	3780
201	952	3761
202	955	3750
203	956	3732
204	958	3717
205	959	3698
206	960	3679
207	961	3660
208	962	3641
209	963	3623
210	964	3604
211	965	3586
212	965	3569
213	966	3550
214	972	3549
215	973	3534
216	975	3518
217	976	3501
218	976	3483
219	977	3467
220	978	3450
221	979	3433
222	980	3417
223	981	3401
224	985	3394
225	988	3386
226	990	3372
227	991	3355
228	992	3340
229	993	3324
230	993	3308
231	994	3293
232	995	3278
233	996	3263
234	998	3251
235	1000	3239
236	1002	3228
237	1004	3214
238	1005	3200
239	1006	3186
240	1007	3172
241	1008	3157
242	1009	3143
243	1010	3131
244	1011	3117
245	1014	3110
246	1016	3100
247	1018	3087
248	1019	3073
249	1020	3060
250	1021	3046
251	1021	3033
252	1022	3020
253	1024	3007
254	1025	2994
255	1025	2981
256	1027	2970
257	1030	2963
258	1033	2958
259	1035	2945
260	1036	2933
261	1036	2921
262	1038	2909
263	1039	2896
264	1039	2884
265	1041	2872
266	1044	2868
267	1046	2857
268	1047	2847
269	1048	2835
270	1049	2823
271	1050	2811
272	1051	2800
273	1052	2788
274	1053	2777
275	1054	2765
276	1055	2754
277	1056	2743
278	1060	2740
279	1062	2732
280	1063	2721
281	1064	2710
282	1065	2700
283	1066	2689
284	1068	2679
285	1069	2670
286	1071	2661
287	1074	2655
288	1075	2646
289	1076	2635
290	1077	2625
291	1078	2615
292	1079	2606
293	1080	2595
294	1081	2585
295	1082	2575
296	1083	2564
297	1084	2554
298	1085	2545
299	1087	2537
300	1089	2530
301	1090	2520
302	1091	2510
303	1092	2500
304	1093	2490
305	1093	2481
306	1094	2471
307	1095	2461
308	1096	2452
309	1097	2442
310	1098	2432
311	1099	2423
312	1102	2419
313	1104	2414
314	1106	2406
315	1107	2397
316	1108	2388
317	1109	2379
318	1110	2370
319	1111	2361
320	1112	2352
321	1113	2343
322	1113	2334
323	1115	2327
324	1118	2322
325	1119	2313
326	1120	2305
327	1120	2296
328	1121	2288
329	1122	2279
330	1123	2270
331	1124	2262
332	1125	2254
333	1126	2246
334	1127	2237
335	1128	2229
336	1130	2223
337	1131	2215
338	1133	2210
339	1134	2203
340	1135	2195
341	1136	2187
342	1138	2180
343	1139	2172
344	1139	2164
345	1140	2156
346	1141	2148
347	1142	2140
348	1144	2134
349	1147	2130
350	1150	2127
351	1152	2120
352	1152	2113
353	1153	2105
354	1154	2098
355	1155	2090
356	1156	2083
357	1157	2075
